mega_cd,mega_nm,cty_cd,cty_nm,from_nm,to_nm,from_cd,to_cd,change_date,reverse
41,경기도,4127,안산시,단원구 원곡1동,단원구 백운동,41273550,41273555,20170701,
41,경기도,4127,안산시,단원구 원곡2동,단원구 백운동,41273560,41273555,20170701,
41,경기도,4128,고양시,덕양구 신도동,덕양구 삼송동,41281570,41281575,20180701,
41,경기도,4128,고양시,덕양구 행신3동,덕양구 행신4동,41281655,41281656,20220103,1개에서1개추가생성
41,경기도,4128,고양시,덕양구 삼송동,덕양구 삼송1동,41281575,41281576,20220103,2개(흥도동)에서2개추가생성
41,경기도,4128,고양시,덕양구 삼송동,덕양구 삼송2동,41281575,41281577,20220103,2개(흥도동)에서2개추가생성
41,경기도,4128,고양시,일산동구 중산동,일산동구 중산1동,41285520,41285525,20220103,1개에서2개로분동
41,경기도,4128,고양시,일산동구 중산동,일산동구 중산2동,41285520,41285526,20220103,1개에서2개로분동
41,경기도,4128,고양시,일산서구 탄현동,일산서구 탄현1동,41287540,41287545,20220103,1개에서2개로분동
41,경기도,4128,고양시,일산서구 탄현동,일산서구 탄현2동,41287540,41287546,20220103,1개에서2개로분동
41,경기도,4128,고양시,일산서구 송산동,일산서구 가좌동,41287590,41287610,20220103,1개에서2개로분동
41,경기도,4128,고양시,일산서구 송산동,일산서구 덕이동,41287590,41287600,20220103,1개에서2개로분동
41,경기도,4136,남양주시,도농동,다산1동,41360560,41360545,20171218,
41,경기도,4136,남양주시,지금동,다산2동,41360550,41360565,20171218,
41,경기도,4136,남양주시,퇴계원면,퇴계원읍,41360370,41360265,20191021,
41,경기도,4139,시흥시,정왕4동,배곧동,41390594,41390595,20181008,1개에서2개로분동
41,경기도,4139,시흥시,배곧동,배곧1동,41390595,41390596,20210705,1개에서2개로분동
41,경기도,4139,시흥시,배곧동,배곧2동,41390595,41390597,20210705,1개에서2개로분동
41,경기도,4139,시흥시,군자동,월곶동,41390581,41390582,20140301,1개에서2개로분동
41,경기도,4139,시흥시,연성동,장곡동,41390630,41390631,20140301,1개에서2개로분동
41,경기도,4141,군포시,군포2동,송부동,41410520,41410630,20170101,2개에서1개추가생성
41,경기도,4141,군포시,대야동,송부동,41410610,41410630,20170101,2개에서1개추가생성
41,경기도,4145,하남시,풍산동,미사1동,41450570,41450610,20140605,1개에서2개추가생성
41,경기도,4145,하남시,풍산동,미사2동,41450570,41450620,20140605,1개에서2개추가생성
41,경기도,4145,하남시,감북동,감일동,41450580,41450582,20200420,1개에서1개추가생성
41,경기도,4145,하남시,감북동,위례동,41450580,41450585,20151104,1개에서1개추가생성
41,경기도,4146,용인시,처인구 모현면,처인구 모현읍,41461310,41461253,20171216,
41,경기도,4146,용인시,처인구 남사면,처인구 남사읍,41461320,41461259,20210219,
41,경기도,4146,용인시,처인구 이동면,처인구 이동읍,41461330,41461256,20171211,
41,경기도,4146,용인시,처인구 역삼동,처인구 삼가동,41461520,41461526,20210701,1개에서2개로분동
41,경기도,4146,용인시,처인구 역삼동,처인구 역북동,41461520,41461525,20210701,1개에서2개로분동
41,경기도,4146,용인시,기흥구 영덕동,기흥구 영덕1동,41463515,41463516,20200120,1개에서2개로분동
41,경기도,4146,용인시,기흥구 영덕동,기흥구 영덕2동,41463515,41463517,20200120,1개에서2개로분동
41,경기도,4146,용인시,기흥구 동백동,기흥구 동백1동,41463585,41463572,20200120,1개에서3개로분동
41,경기도,4146,용인시,기흥구 동백동,기흥구 동백2동,41463585,41463575,20200120,1개에서3개로분동
41,경기도,4146,용인시,기흥구 동백동,기흥구 동백3동,41463585,41463577,20200120,1개에서3개로분동
41,경기도,4146,용인시,기흥구 상갈동,기흥구 보라동,41463530,41463535,20200120,1개에서1개추가생성
41,경기도,4146,용인시,수지구 죽전1동,수지구 죽전3동,41465540,41465555,20210906,1개에서1개추가생성
41,경기도,4146,용인시,수지구 상현1동,수지구 상현3동,41465570,41465585,20210906,1개에서1개추가생성
41,경기도,4148,파주시,진동면,장단면,41480400,41480390,20210701,
41,경기도,4157,김포시,김포2동,운양동,41570520,41570580,20150202,1개에서1개추가생성
41,경기도,4157,김포시,김포1동,김포본동,41570510,41570515,20170418,
41,경기도,4157,김포시,김포2동,장기본동,41570520,41570525,20170418,
41,경기도,4157,김포시,구래동,마산동,41570570,41570575,20190923,1개에서1개추가생성
